,Year,Coach1,Balance1,Coach2,Balance2,Coach3,Balance3,Coach4,Balance4,Coach1Wins,Coach1Lose,Coach2Wins,Coach2Lose,Coach3Wins,Coach3Lose,Coach4Wins,Coach4Lose,Total1,Total2,Total3,Total4,Precentage1,Precentage2,Precentage3,Precentage4
29,1993,Chris Ford,48-34,nan,nan,nan,nan,nan,nan,48.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,58,,,
30,1992,Chris Ford,51-31,nan,nan,nan,nan,nan,nan,51.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,62,,,
31,1991,Chris Ford,56-26,nan,nan,nan,nan,nan,nan,56.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,68,,,
32,1990,Jimmy Rodgers,52-30,nan,nan,nan,nan,nan,nan,52.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,63,,,
33,1989,Jimmy Rodgers,42-40,nan,nan,nan,nan,nan,nan,42.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,51,,,
34,1988,K.C. Jones,57-25,nan,nan,nan,nan,nan,nan,57.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,69,,,
35,1987,K.C. Jones,59-23,nan,nan,nan,nan,nan,nan,59.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,71,,,
36,1986,K.C. Jones,67-15,nan,nan,nan,nan,nan,nan,67.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,81,,,
37,1985,K.C. Jones,63-19,nan,nan,nan,nan,nan,nan,63.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,76,,,
38,1984,K.C. Jones,62-20,nan,nan,nan,nan,nan,nan,62.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,75,,,
39,1983,Bill Fitch,56-26,nan,nan,nan,nan,nan,nan,56.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,68,,,
40,1982,Bill Fitch,63-19,nan,nan,nan,nan,nan,nan,63.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,76,,,
41,1981,Bill Fitch,62-20,nan,nan,nan,nan,nan,nan,62.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,75,,,
42,1980,Bill Fitch,61-21,nan,nan,nan,nan,nan,nan,61.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,74,,,
44,1979,Tom Sanders,2-12,Dave Cowens,27-41,nan,nan,nan,nan,2.0,12.0,27.0,41.0,0.0,0.0,0.0,0.0,14,68,0,0,14,39,,
46,1978,Tom Heinsohn,11-23,Tom Sanders,21-27,nan,nan,nan,nan,11.0,23.0,21.0,27.0,0.0,0.0,0.0,0.0,34,48,0,0,32,43,,
47,1977,Tom Heinsohn,44-38,nan,nan,nan,nan,nan,nan,44.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,53,,,
48,1976,Tom Heinsohn,54-28,nan,nan,nan,nan,nan,nan,54.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,65,,,
49,1975,Tom Heinsohn,60-22,nan,nan,nan,nan,nan,nan,60.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,73,,,
50,1974,Tom Heinsohn,56-26,nan,nan,nan,nan,nan,nan,56.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,68,,,
51,1973,Tom Heinsohn,68-14,nan,nan,nan,nan,nan,nan,68.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,82,,,
52,1972,Tom Heinsohn,56-26,nan,nan,nan,nan,nan,nan,56.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,68,,,
53,1971,Tom Heinsohn,44-38,nan,nan,nan,nan,nan,nan,44.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,53,,,
54,1970,Tom Heinsohn,34-48,nan,nan,nan,nan,nan,nan,34.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,41,,,
55,1969,Bill Russell,48-34,nan,nan,nan,nan,nan,nan,48.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,58,,,
56,1968,Bill Russell,54-28,nan,nan,nan,nan,nan,nan,54.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,65,,,
57,1967,Bill Russell,60-21,nan,nan,nan,nan,nan,nan,60.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0,0,74,,,
58,1966,Red Auerbach,54-26,nan,nan,nan,nan,nan,nan,54.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,80,0,0,0,67,,,
